"","moduleLabel","moduleColor","ensembl_id_TH","ensembl_id","entrez"
"SLAIN2",7,"black","ENSG00000109171.14","ENSG00000109171",57606
"SLAMF1",13,"salmon","ENSG00000117090.14","ENSG00000117090",6504
"SLAMF6",0,"grey","ENSG00000162739.13","ENSG00000162739",114836
"SLAMF7",3,"brown","ENSG00000026751.16","ENSG00000026751",57823
"SLAMF8",3,"brown","ENSG00000158714.10","ENSG00000158714",56833
"SLAMF9",0,"grey","ENSG00000162723.9","ENSG00000162723",89886
"SLBP",0,"grey","ENSG00000163950.12","ENSG00000163950",7884
"SLC10A1",0,"grey","ENSG00000100652.4","ENSG00000100652",6554
"SLC10A3",0,"grey","ENSG00000126903.15","ENSG00000126903",8273
"SLC10A4",0,"grey","ENSG00000145248.6","ENSG00000145248",201780
"SLC10A5",0,"grey","ENSG00000253598.1","ENSG00000253598",347051
"SLC10A6",0,"grey","ENSG00000145283.7","ENSG00000145283",345274
"SLC10A7",17,"grey60","ENSG00000120519.14","ENSG00000120519",84068
"SLC11A1",0,"grey","ENSG00000018280.16","ENSG00000018280",6556
"SLC11A2",0,"grey","ENSG00000110911.14","ENSG00000110911",4891
"SLC12A1",0,"grey","ENSG00000074803.17","ENSG00000074803",6557
"SLC12A2",0,"grey","ENSG00000064651.13","ENSG00000064651",6558
"SLC12A3",0,"grey","ENSG00000070915.9","ENSG00000070915",6559
"SLC12A4",0,"grey","ENSG00000124067.16","ENSG00000124067",6560
"SLC12A5",0,"grey","ENSG00000124140.12","ENSG00000124140",57468
"SLC12A6",0,"grey","ENSG00000140199.11","ENSG00000140199",9990
"SLC12A7",0,"grey","ENSG00000113504.19","ENSG00000113504",10723
"SLC12A8",0,"grey","ENSG00000221955.10","ENSG00000221955",84561
