"","moduleLabel","moduleColor","ensembl_id_TH","ensembl_id","entrez"
"EPB41",6,"red","ENSG00000159023.18","ENSG00000159023",2035
"EPC1",17,"grey60","ENSG00000120616.15","ENSG00000120616",80314
"EPC2",17,"grey60","ENSG00000135999.11","ENSG00000135999",26122
"EPG5",7,"black","ENSG00000152223.12","ENSG00000152223",57724
"EPM2AIP1",6,"red","ENSG00000178567.7","ENSG00000178567",9852
"EPT1",6,"red","ENSG00000138018.17","ENSG00000138018",85465
"ERC1",17,"grey60","ENSG00000082805.19","ENSG00000082805",23085
"ERCC3",6,"red","ENSG00000163161.12","ENSG00000163161",2071
"ERCC4",17,"grey60","ENSG00000175595.14","ENSG00000175595",2072
"ERCC6-PGBD3",17,"grey60","ENSG00000258838.5","ENSG00000258838",NA
"ERCC6L",4,"yellow","ENSG00000186871.6","ENSG00000186871",54821
"ERCC6L2",7,"black","ENSG00000182150.15","ENSG00000182150",375748
"ERCC8",18,"lightgreen","ENSG00000049167.13","ENSG00000049167",1161
"ERI1",6,"red","ENSG00000104626.14","ENSG00000104626",90459
"ERI2",6,"red","ENSG00000196678.13","ENSG00000196678",112479
"ERICH6B",6,"red","ENSG00000165837.11","ENSG00000165837",220081
"ERLEC1",14,"cyan","ENSG00000068912.13","ENSG00000068912",27248
"ERLIN1",14,"cyan","ENSG00000107566.13","ENSG00000107566",10613
"ERLIN2",7,"black","ENSG00000147475.14","ENSG00000147475",11160
"ESAM",22,"darkgreen","ENSG00000149564.11","ENSG00000149564",90952
"ESCO1",6,"red","ENSG00000141446.10","ENSG00000141446",114799
"ESCO2",4,"yellow","ENSG00000171320.14","ENSG00000171320",157570
"ESF1",6,"red","ENSG00000089048.14","ENSG00000089048",51575
"ESPL1",4,"yellow","ENSG00000135476.11","ENSG00000135476",9700
"ETAA1",6,"red","ENSG00000143971.7","ENSG00000143971",54465
"ETF1",17,"grey60","ENSG00000120705.12","ENSG00000120705",2107
"ETNK1",6,"red","ENSG00000139163.15","ENSG00000139163",55500
"ETV3",17,"grey60","ENSG00000117036.11","ENSG00000117036",2117
"ETV7",27,"white","ENSG00000010030.13","ENSG00000010030",51513
"EVC",14,"cyan","ENSG00000072840.12","ENSG00000072840",2121
"EVI5",17,"grey60","ENSG00000067208.14","ENSG00000067208",7813
"EXO1",4,"yellow","ENSG00000174371.16","ENSG00000174371",9156
"EXO5",6,"red","ENSG00000164002.11","ENSG00000164002",64789
"EXOC2",7,"black","ENSG00000112685.13","ENSG00000112685",55770
"EXOC5",17,"grey60","ENSG00000070367.15","ENSG00000070367",10640
"EXOC7",7,"black","ENSG00000182473.20","ENSG00000182473",23265
"EXOC8",17,"grey60","ENSG00000116903.7","ENSG00000116903",149371
"EXOSC2",4,"yellow","ENSG00000130713.15","ENSG00000130713",23404
"EXOSC3",4,"yellow","ENSG00000107371.12","ENSG00000107371",51010
"EXT2",7,"black","ENSG00000151348.13","ENSG00000151348",2132
"EZH1",6,"red","ENSG00000108799.12","ENSG00000108799",2145
"EZH2",4,"yellow","ENSG00000106462.10","ENSG00000106462",2146
"FAF1",24,"darkgrey","ENSG00000185104.19","ENSG00000185104",11124
"FAF2",6,"red","ENSG00000113194.12","ENSG00000113194",23197
"FAM111B",4,"yellow","ENSG00000189057.10","ENSG00000189057",374393
"FAM117B",6,"red","ENSG00000138439.11","ENSG00000138439",150864
"FAM120A",17,"grey60","ENSG00000048828.16","ENSG00000048828",23196
"FAM120B",17,"grey60","ENSG00000112584.13","ENSG00000112584",84498
"FAM122A",6,"red","ENSG00000187866.7","ENSG00000187866",116224
"FAM124B",22,"darkgreen","ENSG00000124019.9","ENSG00000124019",79843
"FAM126B",6,"red","ENSG00000155744.9","ENSG00000155744",285172
"FAM133B",6,"red","ENSG00000234545.7","ENSG00000234545",257415
"FAM13B",6,"red","ENSG00000031003.10","ENSG00000031003",51306
"FAM160B1",7,"black","ENSG00000151553.14","ENSG00000151553",57700
"FAM161A",18,"lightgreen","ENSG00000170264.12","ENSG00000170264",84140
"FAM168A",17,"grey60","ENSG00000054965.10","ENSG00000054965",23201
"FAM168B",17,"grey60","ENSG00000152102.17","ENSG00000152102",130074
"FAM175A",6,"red","ENSG00000163322.13","ENSG00000163322",84142
"FAM175B",6,"red","ENSG00000165660.7","ENSG00000165660",23172
"FAM179B",6,"red","ENSG00000198718.12","ENSG00000198718",23116
"FAM193A",7,"black","ENSG00000125386.14","ENSG00000125386",8603
"FAM199X",17,"grey60","ENSG00000123575.8","ENSG00000123575",139231
"FAM200A",6,"red","ENSG00000221909.2","ENSG00000221909",221786
"FAM208A",6,"red","ENSG00000163946.13","ENSG00000163946",23272
"FAM208B",6,"red","ENSG00000108021.19","ENSG00000108021",54906
"FAM20B",17,"grey60","ENSG00000116199.11","ENSG00000116199",9917
"FAM210A",6,"red","ENSG00000177150.12","ENSG00000177150",125228
"FAM217B",17,"grey60","ENSG00000196227.10","ENSG00000196227",63939
"FAM219B",6,"red","ENSG00000178761.14","ENSG00000178761",57184
"FAM21A",7,"black","ENSG00000099290.15","ENSG00000099290",387680
"FAM21C",7,"black","ENSG00000172661.17","ENSG00000172661",253725
"FAM222B",7,"black","ENSG00000173065.13","ENSG00000173065",55731
"FAM35A",6,"red","ENSG00000122376.11","ENSG00000122376",54537
"FAM53C",17,"grey60","ENSG00000120709.10","ENSG00000120709",51307
"FAM63A",7,"black","ENSG00000143409.15","ENSG00000143409",55793
"FAM72A",4,"yellow","ENSG00000196550.10","ENSG00000196550",729533
"FAM72B",4,"yellow","ENSG00000188610.12","ENSG00000188610",653820
"FAM72C",4,"yellow","ENSG00000263513.5","ENSG00000263513",554282
"FAM72D",4,"yellow","ENSG00000215784.5","ENSG00000215784",728833
"FAM73A",17,"grey60","ENSG00000180488.14","ENSG00000180488",374986
"FAM76B",6,"red","ENSG00000077458.12","ENSG00000077458",143684
"FAM83D",4,"yellow","ENSG00000101447.13","ENSG00000101447",81610
"FAM8A1",17,"grey60","ENSG00000137414.5","ENSG00000137414",51439
"FAM91A1",17,"grey60","ENSG00000176853.15","ENSG00000176853",157769
"FAM98B",6,"red","ENSG00000171262.11","ENSG00000171262",283742
"FANCA",4,"yellow","ENSG00000187741.14","ENSG00000187741",2175
"FANCB",4,"yellow","ENSG00000181544.13","ENSG00000181544",2187
"FANCC",4,"yellow","ENSG00000158169.11","ENSG00000158169",2176
"FANCD2",4,"yellow","ENSG00000144554.10","ENSG00000144554",2177
"FANCI",4,"yellow","ENSG00000140525.17","ENSG00000140525",55215
"FAR1",6,"red","ENSG00000197601.12","ENSG00000197601",84188
"FARP2",17,"grey60","ENSG00000006607.13","ENSG00000006607",9855
"FASLG",13,"salmon","ENSG00000117560.7","ENSG00000117560",356
"FBXL14",6,"red","ENSG00000171823.6","ENSG00000171823",144699
"FBXL17",7,"black","ENSG00000145743.15","ENSG00000145743",64839
"FBXL18",6,"red","ENSG00000155034.18","ENSG00000155034",80028
"FBXL3",17,"grey60","ENSG00000005812.10","ENSG00000005812",26224
"FBXL4",6,"red","ENSG00000112234.8","ENSG00000112234",26235
"FBXO21",6,"red","ENSG00000135108.14","ENSG00000135108",23014
"FBXO28",17,"grey60","ENSG00000143756.11","ENSG00000143756",23219
"FBXO3",7,"black","ENSG00000110429.13","ENSG00000110429",26273
"FBXO30",6,"red","ENSG00000118496.4","ENSG00000118496",84085
"FBXO33",6,"red","ENSG00000165355.7","ENSG00000165355",254170
"FBXO34",17,"grey60","ENSG00000178974.9","ENSG00000178974",55030
"FBXO38",7,"black","ENSG00000145868.16","ENSG00000145868",81545
"FBXO43",4,"yellow","ENSG00000156509.13","ENSG00000156509",286151
"FBXO45",6,"red","ENSG00000174013.7","ENSG00000174013",200933
"FBXO48",6,"red","ENSG00000204923.3","ENSG00000204923",554251
"FBXO5",4,"yellow","ENSG00000112029.9","ENSG00000112029",26271
"FBXO9",7,"black","ENSG00000112146.16","ENSG00000112146",26268
"FBXW11",17,"grey60","ENSG00000072803.17","ENSG00000072803",23291
"FBXW2",17,"grey60","ENSG00000119402.16","ENSG00000119402",26190
"FBXW8",6,"red","ENSG00000174989.12","ENSG00000174989",26259
"FCER1G",3,"brown","ENSG00000158869.10","ENSG00000158869",2207
"FCER2",13,"salmon","ENSG00000104921.14","ENSG00000104921",2208
"FCF1",17,"grey60","ENSG00000119616.11","ENSG00000119616",51077
